SubjectName Mt,SessionNumber 2,ExperimentName sternbergComp,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Trial,NSPrac-OnsetError,NSPrac-OnsetTime,ProbePrac-OnsetError,ProbePrac-OnsetTime,ProbePrac-Mouse-IsCorrect,ProbePrac-Mouse-Responses,ProbePrac-Mouse-ResponseTime,TrialTable-Condition,TrialTable-CorrectResponse,TrialTable-NumberSets,TrialTable-Probes
160,0.01,1356580.16,0.16,1361613.51,1,No,795.58,4,No,4 9 3 7 ,6
161,0.01,1362913.51,0.15,1367946.86,1,No,678.27,8,No,7 2 9 1 5 4 3 6 ,8
162,0.02,1369130.19,0.16,1374163.53,1,No,861.65,2,No,1 2 ,8
163,0.01,1375530.2,0.16,1380563.55,1,No,1325.67,2,No,7 6 ,9
164,0.01,1382396.88,0.16,1387430.22,0,Yes,1067.3,6,No,1 5 3 2 7 9 ,8
165,0.02,1389013.56,0.16,1394046.91,1,No,1274.39,8,No,2 3 4 7 1 8 5 6 ,9
166,0.02,1395830.24,0.16,1400863.59,1,No,825.76,2,No,6 9 ,3
167,0.02,1402196.92,0.15,1407230.26,1,No,1715.11,8,No,6 8 7 5 4 2 1 3 ,9
168,0.01,1409446.93,0.16,1414480.28,1,Yes,841.18,4,Yes,3 8 7 1 ,1
169,0.01,1415830.28,0.15,1420863.62,1,Yes,713.84,6,Yes,4 7 2 6 3 8 ,6
170,0.01,1422080.29,0.16,1427113.64,1,No,1095.91,4,No,1 7 9 6 ,3
171,0.01,1428713.64,0.15,1433746.98,1,No,1094.56,2,No,9 7 ,4
172,0.01,1435346.98,0.16,1440380.33,1,No,845.27,4,No,2 4 9 5 ,8
173,0.01,1441730.33,0.15,1446763.67,1,No,1629.96,4,No,2 6 8 5 ,1
174,0.02,1448897.01,0.16,1453930.35,1,Yes,1551.35,8,Yes,8 9 4 1 7 6 3 2 ,7
175,0.01,1455997.03,0.15,1461030.37,1,No,867.33,2,No,8 3 ,4
176,0.02,1462413.7,0.16,1467447.04,1,Yes,906.73,8,Yes,5 8 2 1 4 9 6 3 ,3
177,0.01,1468863.71,0.15,1473897.06,1,Yes,1160.74,8,Yes,6 3 1 7 2 8 4 5 ,4
178,0.01,1475563.73,0.16,1480597.07,1,No,988.95,8,No,9 3 2 5 7 4 6 8 ,1
179,0.01,1482097.07,0.16,1487130.41,1,No,903.46,4,No,1 2 9 6 ,5
180,0.02,1488547.08,0.16,1493580.43,1,Yes,1213.47,8,Yes,5 7 4 9 1 8 6 3 ,9
181,0.01,1495297.1,0.15,1500330.44,1,No,919.5,2,No,5 9 ,3
182,0.01,1501763.78,0.16,1506797.12,1,No,916.85,8,No,4 6 1 2 3 7 9 5 ,8
183,0.01,1508230.46,0.15,1513263.8,1,No,874.22,2,No,8 6 ,7
184,0.01,1514647.13,0.16,1519680.48,1,Yes,1153.57,2,Yes,9 1 ,9
185,0.02,1521347.15,0.16,1526380.49,1,No,877.63,6,No,7 9 8 3 2 4 ,6
186,0.01,1527763.83,0.16,1532797.17,1,No,988.99,6,No,5 3 8 9 6 7 ,1
187,0.02,1534297.17,0.15,1539330.52,1,No,871.61,6,No,9 1 3 4 7 2 ,5
188,0.01,1540713.85,0.16,1545747.2,0,No,2319.01,4,Yes,5 8 6 7 ,6
189,0.01,1548580.53,0.15,1553613.88,1,No,900.41,4,No,4 6 8 1 ,3
190,0.01,1555030.55,0.17,1560063.89,1,Yes,898.42,2,Yes,8 2 ,8
191,0.01,1561463.89,0.22,1566497.24,1,Yes,1281.13,8,Yes,8 2 4 1 3 6 7 9 ,3
192,0.01,1568280.57,0.16,1573313.91,1,No,1104.42,4,No,8 2 3 4 ,7
193,0.01,1574930.58,0.15,1579963.93,1,Yes,1278.49,8,Yes,6 2 4 3 1 7 8 9 ,7
194,0.02,1581747.26,0.16,1586780.61,1,No,1005.85,4,No,6 1 3 4 ,9
195,0.01,1588297.28,0.16,1593330.62,0,No,1135.92,4,Yes,3 5 2 6 ,3
196,0.02,1594980.62,0.16,1600013.96,0,No,2068.61,8,Yes,3 2 8 6 1 7 5 9 ,5
197,0.02,1602597.3,0.17,1607630.65,1,No,1843.96,6,No,4 5 6 9 3 2 ,8
198,0.01,1609980.65,0.16,1615014,1,Yes,1244.63,2,Yes,7 2 ,2
199,0.01,1616764,0.15,1621797.34,1,No,1239.19,2,No,9 5 ,4
200,0.02,1623547.34,0.16,1628580.68,1,Yes,1726.04,8,Yes,3 8 6 4 1 2 9 7 ,2
